"","geneName","name","intensity","time"
"263","yeaH","JH01_B05",3810.96008701274,120
"264","yeaH","JH01_B06",4849.30032603044,150
"265","yeaH","JH01_C01",30.5580394217542,0
"266","yeaH","JH01_C02",63.7726974560165,30
"267","yeaH","JH01_C03",136.087340047279,60
"268","yeaH","JH01_C04",2426.00411416757,90
"269","yeaH","JH01_C05",3788.26570026987,120
"270","yeaH","JH01_C06",4476.18690964104,150
"271","yegP","JH01_A01",46.128493266483,0
"272","yegP","JH01_A02",23.3715592299477,30
"273","yegP","JH01_A03",84.6685002519768,60
"274","yegP","JH01_A04",271.564993677736,90
"275","yegP","JH01_A05",3919.21826526485,120
"276","yegP","JH01_A06",5823.22894825574,150
"277","yegP","JH01_B01",40.6130945016469,0
"278","yegP","JH01_B02",37.9630694889875,30
"279","yegP","JH01_B03",94.8157164614022,60
"280","yegP","JH01_B04",1091.93145798508,90
"281","yegP","JH01_B05",6700.36536340517,120
"282","yegP","JH01_B06",8892.32281597426,150
"283","yegP","JH01_C01",36.3786183592312,0
"284","yegP","JH01_C02",60.2941866856883,30
"285","yegP","JH01_C03",217.739744075646,60
"286","yegP","JH01_C04",2085.75955375735,90
"287","yegP","JH01_C05",3893.07337200949,120
"288","yegP","JH01_C06",6784.17753172714,150
"289","mlrA","JH01_A01",78.543110156444,0
"290","mlrA","JH01_A02",168.994351355006,30
"291","mlrA","JH01_A03",397.210248095694,60
"292","mlrA","JH01_A04",556.813494788845,90
"293","mlrA","JH01_A05",2330.11130246544,120
"294","mlrA","JH01_A06",3068.08690635181,150
"295","mlrA","JH01_B01",82.9184012741957,0
"296","mlrA","JH01_B02",149.954124481501,30
"297","mlrA","JH01_B03",302.947776986431,60
"298","mlrA","JH01_B04",1461.0934703713,90
"299","mlrA","JH01_B05",2412.08061619544,120
"300","mlrA","JH01_B06",3535.63122128553,150
"301","mlrA","JH01_C01",200.809973342956,0
"302","mlrA","JH01_C02",249.293271873519,30
"303","mlrA","JH01_C03",540.754600263338,60
"304","mlrA","JH01_C04",2381.71192287157,90
"305","mlrA","JH01_C05",3359.92130272532,120
"306","mlrA","JH01_C06",4476.18690964104,150
"307","csiD","JH01_A01",2.49343206845854,0
